latitude,longitude
40.7349257,-73.9231109
40.80777,-73.94549
40.895195,-73.88012
40.833736,-73.88881
40.66919,-73.8857
40.73283,-73.97415
40.830048,-73.90632
40.792263,-73.79332
40.8264543,-73.8553285
40.736732,-73.85451
40.875122,-73.905174
40.693604,-73.8229
40.809563,-73.92923
40.728207,-73.73817
40.705135,-73.90293
40.580376,-73.983315
40.786785,-73.80971
40.77006,-73.90679
40.7925199,-73.9343547
40.668247,-73.8873
40.7965332,-73.9759553
40.701214,-73.80158
40.608757,-74.038086
40.707214,-74.002754
40.67538,-73.9082
40.7374593,-73.7410827
40.636463,-73.9118
40.657413,-73.983
40.644142,-73.957924
40.703403,-73.917786
40.722343,-73.77717
40.639256,-74.00368
40.758396,-73.81994
40.69407,-73.82802
40.678236,-73.8975198
40.73723,-74.000656
40.77039,-73.91771
40.75548,-73.74173
40.76434,-73.87448
40.7592665,-73.7503638
40.7092,-73.9919
40.765854,-73.914505
40.7541077,-73.7232034
40.855793,-73.86986
40.766895,-73.921394
40.61661,-73.926636
40.7663065,-73.8928491
40.7831836,-73.9436089
40.61325,-74.15856
40.6714475,-73.8899962
40.695995,-73.96964
40.69521,-73.8075
40.712616,-73.96951
40.68169,-73.96715
40.685722,-73.85738
40.727432,-73.90713
40.824913,-73.8689
40.747234,-73.99337
40.68085,-73.79907
40.83835,-73.94784
40.639633,-73.954185
40.610302,-74.084526
40.67268,-73.953026
40.858387,-73.893005
40.84551,-73.83422
40.676548,-73.76838
40.68279,-73.97247
40.69471,-73.751305
40.69648,-73.92574
40.826275,-73.85971
40.740295,-74.00795
40.76161,-73.99032
40.902847,-73.855385
40.753468,-73.91355
40.66018,-73.95351
40.745426,-74.00825
40.785572,-73.8361
40.636074,-74.00896
40.825424,-73.923485
40.72195,-73.99628
40.804695,-73.92239
40.87656,-73.90436
40.74632,-73.983505
40.78389,-73.950294
40.67991,-73.88845
40.887672,-73.84705
40.761486,-73.96062
40.594395,-74.1849
40.63222,-73.89214
40.648335,-73.905685
40.83968,-73.929276
40.66336,-73.95975
40.831974,-73.9235
40.802372,-73.96431
40.735653,-73.851006
40.671272,-73.943726
40.585163,-73.95641
40.774914,-73.74369
40.756653,-73.97858
40.748924,-73.937386
40.75649,-73.997765
40.861656,-73.89132
40.773117,-73.826485
40.743683,-73.88378
40.60981,-73.92251
40.770153,-73.8776
40.716778,-73.93635
40.65108,-73.97163
40.65461,-73.922
40.69699,-73.978836
40.601357,-73.99284
40.803143,-73.97256
40.69997,-73.76351
40.675274,-73.90621
40.75834,-73.95775
40.659245,-73.96263
40.771355,-73.73933
40.771774,-73.96754
40.72552,-73.9575
40.61146,-73.92437
40.680016,-73.87743
40.87835,-73.870346
40.69644,-73.905594
40.61196,-73.96816
40.71172,-73.957825
40.658768,-73.84271
40.68558,-73.97362
40.830006,-73.901726
40.697815,-73.764275
40.804344,-73.92158
40.672363,-73.993576
40.677364,-73.92813
40.650024,-73.89126
40.53884,-74.177765
40.75833,-73.89061
40.660316,-73.913216
40.679073,-73.86329
40.640373,-73.89702
40.75076,-73.96843
40.607655,-74.01703
40.850773,-73.93543
40.575813,-74.11979
40.717392,-73.97515
40.675495,-73.88916
40.723347,-73.939316
40.719734,-73.76435
40.65906,-73.88459
40.666695,-73.767136
40.677124,-73.8825
40.70058,-73.80775
40.747925,-73.88114
40.678196,-73.98253
40.677353,-73.80443
